key,text
admin_menu_add_slots,➕ Додати слоти
admin_menu_msg,✉️ Написати клієнту
admin_menu_stats,📊 Статистика
admin_btn_back_panel,⬅️ Назад
admin_clients_header,👥 Клієнти ({count}):
admin_clients_empty,Поки що немає клієнтів.
admin_clients_line,• {name} (@{username}) — {sessions} сесій
admin_client_profile,"👤 {name}
Вік: {age}
Запит: {request}
Досвід терапії: {experience}
Діагнози / медикаменти: {diagnosis}

💼 Сесії:
• Пройдено: {sessions_completed}
• Доступно: {available_sessions}

🔁 Скасування:
• Використано: {sessions_cancelled}
• Безкоштовних залишилось: {free_cancellations_left}"
admin_client_future_header,"

📅 Майбутні записи:"
admin_client_future_empty,"

📅 Майбутніх записів немає."
admin_btn_cancel_bk,❌ Скасувати запис
admin_btn_resch_bk,🔁 Перенести запис
admin_btn_msg_client,✉️ Написати
admin_cancel_success,"Запис #{id} скасовано, клієнта повідомлено."
admin_cancel_to_client,"Ваш запис було скасовано психологом.
Будь ласка, оберіть новий зручний час 🙏"
admin_resch_choose_slot,Оберіть новий слот для запису #{id}:
admin_resch_no_slots,Вільних слотів немає — спочатку додайте нові.
admin_resch_success,"Запис #{id} перенесено на {slot}, клієнта повідомлено."
admin_resch_to_client,"Ваш запис було перенесено психологом.
Новий час: {slot}"
admin_today_header,"📅 Сьогодні, {date}:"
admin_today_empty,На сьогодні записів немає.
admin_today_line,{time} — {name}
admin_add_slots_menu,Як додати слоти?
admin_btn_add_one,➕ Один слот
admin_btn_add_range,📆 Діапазон
admin_add_one_hint,"Надішліть командою:
/slots_add DD.MM.YYYY - HH:MM

Наприклад: /slots_add 20.04.2026 - 14:00"
admin_range_ask_date,Вкажіть дату у форматі DD.MM.YYYY (наприклад 20.04.2026):
admin_range_ask_start,"Час початку (HH:MM, наприклад 10:00):"
admin_range_ask_end,"Час кінця (HH:MM, наприклад 18:00):"
admin_range_ask_step,Крок у хвилинах (наприклад 60):
admin_range_date_error,Невірний формат дати. Спробуйте ще раз (DD.MM.YYYY):
admin_range_time_error,Невірний формат часу. Спробуйте ще раз (HH:MM):
admin_range_step_error,Крок має бути цілим числом хвилин (1..720). Спробуйте ще раз:
admin_range_order_error,Час кінця має бути пізніше початку. Спробуйте ще раз з /admin.
admin_range_done,Створено {count} слотів на {date}.
admin_msg_pick_client,Оберіть клієнта:
admin_msg_clients_empty,"Немає клієнтів, яким можна написати."
admin_msg_ask_text,Введіть повідомлення для {name}:
admin_msg_sent,Повідомлення надіслано ✅
admin_msg_failed,Не вдалося надіслати: {error}
admin_msg_to_client,"Повідомлення від психолога:

{message}"
admin_stats,"📊 Статистика

Всього клієнтів: {users}
Пройдено сесій: {sessions}
Скасувань: {cancels}"
admin_only,Ця команда доступна лише адміністратору.
slot_added,Слот додано: {slot}
slot_format_error,Невірний формат. Приклад: /slots_add 17.04.2026 - 14:00
slot_deleted,Слот видалено.
slot_not_found,Слот не знайдено.
slots_list_empty,Слотів поки немає.
slots_list_header,Доступні слоти:
slots_list_line,{id}. {slot} — {status}
slot_status_free,вільний
slot_status_busy,зайнятий
send_format_error,Формат: /send <user_id> <повідомлення>
send_ok,Повідомлення надіслано.
send_failed,Не вдалося надіслати повідомлення: {error}
admin_message_prefix,"💬 Повідомлення від Міри:

"
bookings_empty,Записів немає.
bookings_header,Усі записи:
bookings_line,#{id} {slot} — {name} (id: {user_id}) — {status}
client_msg_working,"Дякую за ваше повідомлення 💛
Міра вже отримала його та відповість найближчим часом."
client_msg_after_hours,"Зараз неробочий час 🌙
Міра відповість вам з 09:00."
admin_client_msg,"📩 Нове повідомлення від клієнта

Ім'я: {name}
Username: @{username}

Повідомлення:
{text}"
admin_btn_reply,Відповісти
admin_reply_ask_text,Введіть повідомлення для клієнта:
admin_reply_to_client,"💬 Повідомлення від психолога:

{text}"
admin_reply_sent,Повідомлення надіслано ✅
admin_menu_calendar,📅 Календар
admin_cal_menu_title,📅 Оберіть період:
admin_cal_btn_today,📅 Сьогодні
admin_cal_btn_tomorrow,📅 Завтра
admin_cal_btn_this_week,📅 Цей тиждень
admin_cal_btn_next_week,📅 Наступний тиждень
admin_cal_btn_schedule,📆 Розклад
admin_tomorrow_header,"📅 Завтра, {date}:"
admin_tomorrow_empty,На завтра записів немає.
admin_week_header,"📅 {title}, {range}:"
admin_week_empty,За цей період записів немає.
admin_schedule_title,"📆 Розклад
Пн  Вт  Ср  Чт  Пт  Сб  Нд"
admin_cal_prev,⬅️
admin_cal_next,➡️
admin_day_header,📅 {date}:
admin_day_empty,На цю дату записів немає.
admin_day_slot_line,{time} — {status}
admin_day_slot_booked,{time} — {name}
use_buttons_hint,"Будь ласка, скористайтеся кнопками меню 👇"
admin_del_clients_title,🗑 Оберіть клієнта для видалення:
admin_del_confirm_prompt,Видалити клієнта {name} (id: {user_id})? Усі активні записи будуть скасовані.
admin_btn_del_confirm,"🗑 Так, видалити"
admin_btn_del_cancel,❌ Скасувати
admin_del_done,Клієнта видалено ✅
admin_del_not_found,Клієнта не знайдено.
admin_menu_del_client,🗑 Видалити клієнта
admin_del_slots_title,🗑 Оберіть слот для видалення:
admin_del_slot_confirm,Видалити слот {slot}?
admin_del_slot_done,Слот видалено ✅
admin_btn_del_slots,🗑 Видалити слот
error_generic,"Упс, щось пішло не так. Спробуйте ще раз."
cancelled,Дію скасовано.
unknown_command,"Не розумію цю команду. Напишіть /start, щоб відкрити меню."
anketa_in_progress,"Ви зараз проходите анкету. Продовжуйте відповідати на питання або надішліть /cancel, щоб перервати."
